Sample,Leaf,Stress,R_mean,G_mean,B_mean,VARI,
1C,9,Stressed,66.617,80.862,24.655,0.115978962,
1C,10,Stressed,64.01,86.357,21.42,0.17330376,
1C,11,Stressed,71.926,86.582,27.045,0.11148384,
1C,12,Stressed,62.317,76.689,21.444,0.122250387,
1C,13,Stressed,70.881,83.902,30.273,0.104577946,
1C,14,Stressed,90.84,98.571,65.551,0.062417245,
1C,15,Stressed,67.18,76.564,47.01,0.097008291,
2C,1,Healthy,63.812,79.985,57.292,0.186960291,
2C,2,Healthy,65.239,80.307,65.224,0.18759493,
2C,3,Healthy,76.05,90.763,80.096,0.169666847,
2C,4,Healthy,72.379,85.283,63.449,0.136966236,
2C,5,Healthy,73.562,84.762,51.243,0.104593719,
2C,6,Healthy,83.704,91.445,70.064,0.073664177,
2C,7,Healthy,72.03,82.939,57.263,0.11165128,
2C,8,Healthy,87.73,96.212,55.457,0.066015488,
2C,9,Healthy,59.154,71.182,38.916,0.131568585,
2C,10,Healthy,79.728,87.501,51.081,0.066923236,
2C,11,Healthy,59.294,74.478,22.195,0.136085394,
2C,12,Healthy,54.538,71.729,27.795,0.174577545,
2C,13,Healthy,57.763,75.36,27.903,0.167240068,
2C,14,Healthy,51.941,69.057,20.601,0.170483182,
2C,15,Healthy,46.274,60.193,38.67,0.20530407,
2C,16,Healthy,53.833,68.83,24.915,0.153425134,
2C,17,Healthy,60.319,72.846,27.508,0.118562897,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
